Act Name,Page Types,Likes,Page Created,Facebook,Instagram,Twitter,Spotify,SoundCloud,Bandcamp,YouTube,Email,Website,Phone,Image,Address,Story,about,price range,artists we also like,general information,public transit,founding date,impressum,attire,culinary team,mission,company overview,products,awards,band interests,personal interests,general manager,hometown,press contact,booking agent,affiliation,personal information,genre,accessibility info,biography,gender,network,,influences,current location,record label,band members,members,release date,season,plot outline,schedule,directed by,written by,starring
Ô Chalet boîte à chanson,Pub | Karaoke,3774,5-Mar-13,%C3%94-Chalet-bo%C3%AEte-%C3%A0-chanson-401373493292885,,,,,,,,,(450) 475-6169,https://scontent-lax3-2.xx.fbcdn.net/v/t1.0-9/51936877_2019125854850966_2690577276122169344_o.jpg?_nc_cat=107&_nc_sid=6e5ad9&_nc_ohc=BkpmlYdk3vUAX-DFuEX&_nc_ht=scontent-lax3-2.xx&oh=7d72db20e4994df9cda1503cf3530cd1&oe=5EE0AD84,"8480 rue Saint-Jaques Mirabel Quebec, Quebec ",,Spectacle avec artistes renommsé de partout au Québec du Classic Rock au Québecois ça vire tout le temps au Ô Chalet :),,,,,,,,,,,,,,,,,,,,,,,,,,"boîte à chanson avec comme but premier d'avoir des spectacles live de grande qualité avec des artistes bien de chez nous, en plus de nos show d'envergure dans u...n endroit intime et chaleureux des chansonniers du circuit du 2 Pierrots du Vieux-Montréal les vendredis et samedis soirs dès 22h00 et une formule accoustique le mercredi et le dimanche soir dès 21h00!! Sans oublié nos célèbre Karaoké a tous les jeudi dès 22h00 . En plus d'avoir un beau rez-de-chaussée avec écran géant, table de pool et 5 vidéo-pokers, nous avons aussi une mezzanine avec télévision pour suivre les sports pendant les spectacles. nous avons aussi une belle terrasse d'une capacité de 110 personnes. See moren endroit intime et chaleureux des chansonniers du circuit du 2 Pierrots du Vieux-Montréal les vendredis et samedis soirs dès 22h00 et une formule accoustique le mercredi et le dimanche soir dès 21h00!! Sans oublié nos célèbre Karaoké a tous les jeudi dès 22h00 . En plus d'avoir un beau rez-de-chaussée avec écran géant, table de pool et 5 vidéo-pokers, nous avons aussi une mezzanine avec télévision pour suivre les sports pendant les spectacles. nous avons aussi une belle terrasse d'une capacité de 110 personnes.",,,,,,,,,,,,
1000 Islands Regatta,Performance & event venue | Sporting event,3149,18-May-11,1000islandsregatta,,,,,,,,http://www.1000islandsregatta.com,,https://scontent-lax3-1.xx.fbcdn.net/v/t31.0-8/29063924_1719672851431814_3101465051876358126_o.jpg?_nc_cat=102&_nc_sid=6e5ad9&_nc_ohc=NOGZe9Kes38AX919B6A&_nc_ht=scontent-lax3-1.xx&oh=b03261ff5dec4b51709ccd119c5861c3&oe=5EE199FF,"2 blockhouse island rd Brockville, Ontario ",,June 28-29-30th 2019 12th annual 1000 Islands Regatta,,,,,,"Famiily friendly festival with food trucks - retail & craft vendors and 3 nights of live music.  This year will feature multiple national level music artists.  ...What Is Hydroplane Racing Anyways  A hydroplane is nothing less than a plane without wings! At heart-pounding speeds, air whips through the tunnel - the empty space between the boat’s sponsons - and lifts the boat up so that pratically only the propeller is touching the water.   Hydroplane (Hy-dro-Plane) noun: Single seater fiberglass or carbon fiber equipped with two sponsons and a center section as light as 750LB for 1.5L and heavy as 2700 Lb for Grand Prix class. It is thrust through the water by a surface piercing propeller powered by up to 1500 HP Grand Prix motor at speeds of 150-160Mph. Visibility is reduced to almost zero in the corners with water turned up by the skid fins that help the boat to turn sharply. Loss of control at high speeds and risk of collision is high. There is no power steering and braking systems such as in your car.  Just a front ""canard"" wing to help keep the boat on the water! GUARANTEED THRILLS. 1000 Islands Regatta More than 10 years running, Full days of racing with no interruption due to wind the last 3 years and counting.   Incredible race site right in the heart of the city, the only festival occupying the Blockhouse Island in 2014. Very affordable large scale event, only $5 for weekend pass and kids up to 12 are in for FREE.   Full array of Food vendors with Live music on all day & night, fully licensed area to enjoy cocktails & beer while watching the racing. Fully furnished and staffed kids zone to keep your little ones occupied.    Business partnerships formed with more than 50 local organizations, supporting our local businesses. Over $1 million in local economic spin-offs for the area with 85 boats and their crews & families in town for 3 days.   Accepting volunteers to help put on this great event and ensure its survival into the future. See moreWhat Is Hydroplane Racing Anyways  A hydroplane is nothing less than a plane without wings! At heart-pounding speeds, air whips through the tunnel - the empty space between the boat’s sponsons - and lifts the boat up so that pratically only the propeller is touching the water.   Hydroplane (Hy-dro-Plane) noun: Single seater fiberglass or carbon fiber equipped with two sponsons and a center section as light as 750LB for 1.5L and heavy as 2700 Lb for Grand Prix class. It is thrust through the water by a surface piercing propeller powered by up to 1500 HP Grand Prix motor at speeds of 150-160Mph. Visibility is reduced to almost zero in the corners with water turned up by the skid fins that help the boat to turn sharply. Loss of control at high speeds and risk of collision is high. There is no power steering and braking systems such as in your car.  Just a front ""canard"" wing to help keep the boat on the water! GUARANTEED THRILLS. 1000 Islands Regatta More than 10 years running, Full days of racing with no interruption due to wind the last 3 years and counting.   Incredible race site right in the heart of the city, the only festival occupying the Blockhouse Island in 2014. Very affordable large scale event, only $5 for weekend pass and kids up to 12 are in for FREE.   Full array of Food vendors with Live music on all day & night, fully licensed area to enjoy cocktails & beer while watching the racing. Fully furnished and staffed kids zone to keep your little ones occupied.    Business partnerships formed with more than 50 local organizations, supporting our local businesses. Over $1 million in local economic spin-offs for the area with 85 boats and their crews & families in town for 3 days.   Accepting volunteers to help put on this great event and ensure its survival into the future.",,,,,,,,,,,,,,,,,,,,"June 30th - July 2nd 2017, Located Downtown Brockville  Weekend pass: $15 live music each day starting at 6pm. racing Saturday & Sunday 10am-5pm",,,,,,,,,,,,
Halte des 103 îles,Marina | Bar | Hotel resort,2897,17-Jul-15,103iles,,,,,,,info@103iles.com,http://www.103iles.com,(450) 746-1244,https://scontent-lax3-1.xx.fbcdn.net/v/t31.0-8/11222935_1623303117938360_6481173522464419526_o.jpg?_nc_cat=104&_nc_sid=6e5ad9&_nc_ohc=6kdqGOnv36QAX9ZrnYL&_nc_ht=scontent-lax3-1.xx&oh=cb7d02d853b3f21b58e6c4f1b3769211&oe=5EE2A213,"1717 Chemin Du Chenal Du Moine Sorel, Quebec ",,"Hotel, Marina, Bar-Terrasse Spectacle, Restaurant, Piscine intérieur, Essence, Location motomarine, chaloupe et kayak, Relais motoneige avec garage chauffé",,,,,,,Casual,,,,,,,,,,,,,,,,,,,"Hotel, Marina, Bar Terrasse, Piscine Intérieur",,,,,,,,,,,,
107 Fourth Avenue Wine Bar & Café,Wine bar,641,23-Mar-11,107-Fourth-Avenue-Wine-Bar-Caf%C3%A9-210743805602992,,,,,,,,http://www.107fourthavenue.com,(613) 236-0040,https://scontent-lax3-2.xx.fbcdn.net/v/t1.0-9/66251522_2540082719335744_128312083543490560_o.jpg?_nc_cat=107&_nc_sid=6e5ad9&_nc_ohc=iRn2NhY6ksoAX_pVcxj&_nc_ht=scontent-lax3-2.xx&oh=c7731df2e8f267e352a234153492ff4c&oe=5EE33DAF,"107 Fourth Ave., Unit #1 Ottawa, Ontario ",,"A wine bar with full kitchen service all day and until midnight, seven days a week.",,,,"#1 or #7 bus on Bank St. to Fifth Avenue, walk north on Bank to Fourth Ave., turn right.",,,,,,,,,,,Julia Hargadon,,,,,,,,,,,,,,,,,,,,,,,
The Corner Lounge,Lounge | Pub | Arts and entertainment,1507,13-Nov-10,121BastionTheCornerLounge,,,,,,,info@thecornerlounge.ca,http://www.thecornerlounge.ca,(778) 441-2793,https://scontent-lax3-1.xx.fbcdn.net/v/t31.0-8/13350496_1335559689791533_7884335767705385704_o.jpg?_nc_cat=108&_nc_sid=6e5ad9&_nc_ohc=QmRK4ncB9oUAX9FnvDl&_nc_ht=scontent-lax3-1.xx&oh=e547cee9abb0540045e62e7a7a362175&oe=5EE22077,"121 Bastion St Nanaimo, British Columbia ",,Historic location in the heart of downtown we showcase the best in live local and traveling entertainment... come on down to The Corner.,,,,,,,,,,,,,,,,,,,,,,,,,,"Live music we bring it all, Rock, Punk, Funk, Blues, Jazz and Whatever... Open Mic Tuesday's, Sunday Jazz Sessions and the best in local and traveling bands... come on down to The Corner.",,,,,,,,,,,,
TwelvEighty Bar & Grill,Bar & Grill | Dance club & nightclub | Lounge,4865,8-May-12,1280BarGrill,,,,,,,sm1280@msu.mcmaster.ca,https://www.msumcmaster.ca/services-directory/5-twelveighty-bar-grill,(905) 525-9140 ext 27004,https://scontent-lax3-1.xx.fbcdn.net/v/t1.0-9/72788517_2706113322789387_6238059815524892672_o.jpg?_nc_cat=108&_nc_sid=6e5ad9&_nc_ohc=h5KfEmfDiWQAX-PAtt5&_nc_ht=scontent-lax3-1.xx&oh=e70af29c45b46be89ff3cc869fae5333&oe=5EE383B2,"1280 Main Street West Hamilton, Ontario ",,McMaster's Student Bar,,,,"05 - Delaware, University opposite Life Science Building  McMaster Student Union Centre (MUSC)",,,Casual,Food & Beverage Manager: Richard Haja Head Chef: Stu Gold,,,,,,,Restaurant Manager  Gabriela Rempala,,,,,,,,,,,"Renovated in 2009, the newly named TwelvEighty is the former famous Quarters.   TwelvEighty is the on-campus bar & grill owned by students, staffed by students ...and LOVED by students!  Day Time Operations:  Ever find yourself sitting in a crowded space with your lunch on your lap, trying to enjoy your meal and you just can’t seem to get comfortable? What about standing in line at La Piazza or Commons? Have no fear, TwelvEighty is here! When you’re on campus for classes, hanging around doing school work, or just meeting up with friends, remember that TwelvEighty is conveniently located in the basement of the MUSC just for you! We provide high quality food at a competitive price for students and faculty, while still maintaining a fun and laid-back atmosphere. We have booths, tables, outlets for your electronic devices and TV screens to make your time at TwelvEighty entertaining and relaxing. We accept cash, debit, credit and the flex dollars from your McMaster Meal Plan.  Are you over the age of 19? We have alcoholic beverages at a very low price to meet anyone’s budget. Stop by for lunch, dinner, drinks or all three and check out our menu and delicious daily specials. Want to know what we’re serving that day? Our specials are posted daily on our Facebook and Twitter pages! Interested in what’s happening at TwelvEighty on a regular basis? Check out our monthly calendar posted in the restaurant and find out what event you want to attend next!  TwelvEighty Nightlife:   Join us for TwelvEighty Nightlife events hosted by MSU Campus Events! Check out https://www.facebook.com/MSUCampusEvents/ for dates and more information!  Special Events:  Have you involved yourself in various clubs and groups on campus? If you’re ever looking for a place to hold a social event and celebrate with your fellow club mates, TwelvEighty has the space and the resources to make your event happen! Check out our new catering menu for discounted pricing for your club or group – we do dine-in orders if you’re holding your event in our venue, or pick up orders if it’s located somewhere else on campus.  Owned and operated by the McMaster Students Union. See moreand LOVED by students!  Day Time Operations:  Ever find yourself sitting in a crowded space with your lunch on your lap, trying to enjoy your meal and you just can’t seem to get comfortable? What about standing in line at La Piazza or Commons? Have no fear, TwelvEighty is here! When you’re on campus for classes, hanging around doing school work, or just meeting up with friends, remember that TwelvEighty is conveniently located in the basement of the MUSC just for you! We provide high quality food at a competitive price for students and faculty, while still maintaining a fun and laid-back atmosphere. We have booths, tables, outlets for your electronic devices and TV screens to make your time at TwelvEighty entertaining and relaxing. We accept cash, debit, credit and the flex dollars from your McMaster Meal Plan.  Are you over the age of 19? We have alcoholic beverages at a very low price to meet anyone’s budget. Stop by for lunch, dinner, drinks or all three and check out our menu and delicious daily specials. Want to know what we’re serving that day? Our specials are posted daily on our Facebook and Twitter pages! Interested in what’s happening at TwelvEighty on a regular basis? Check out our monthly calendar posted in the restaurant and find out what event you want to attend next!  TwelvEighty Nightlife:   Join us for TwelvEighty Nightlife events hosted by MSU Campus Events! Check out https://www.facebook.com/MSUCampusEvents/ for dates and more information!  Special Events:  Have you involved yourself in various clubs and groups on campus? If you’re ever looking for a place to hold a social event and celebrate with your fellow club mates, TwelvEighty has the space and the resources to make your event happen! Check out our new catering menu for discounted pricing for your club or group – we do dine-in orders if you’re holding your event in our venue, or pick up orders if it’s located somewhere else on campus.  Owned and operated by the McMaster Students Union.",,,,,,,,,,,,
12 Bar Club,Dance club & nightclub | Bar & Grill,16252,17-May-10,12BarClub,,,,,,,,,+44 20 7240 2120,https://scontent-lax3-1.xx.fbcdn.net/v/t1.0-9/15492169_1389492274418791_6930941821502889851_n.jpg?_nc_cat=101&_nc_sid=6e5ad9&_nc_ohc=2KMFQ1RXY8IAX_JCd8V&_nc_ht=scontent-lax3-1.xx&oh=daf07474dabe6dc3d24401846de130d9&oe=5EDFFBFD,"23 Denmark Pl London, United Kingdom ",,Live music venue based in Denmark Street from 1994 - 2015 and Holloway Road from 16th January 2015 until 2nd February 2016. Currently closed.,,,,"Tube: Holloway Road (Piccadilly Line) Highbury & Islington (Victoria Line / Overground)...  Buses: 43, 153, 263, 271, 393, N41 See more  Buses: 43, 153, 263, 271, 393, N41",,,Casual,,,,,,,,Barnet,,,,,,,,,,,"OPEN 7 DAYS A WEEK BAR LIVE MUSIC... PUNK, ROCK, GARAGE, FOLK, COUNTRY, HARDCORE, INDY, ROCKABILLY, ROCK N' ROLL AND MORE!  KEEP IN TOUCH TO KEEP MUSIC LIVE! TWITTER: @12barclub WEBSITE http://www.12barclub.com/   EMAIL: info@12barclub.com See more PUNK, ROCK, GARAGE, FOLK, COUNTRY, HARDCORE, INDY, ROCKABILLY, ROCK N' ROLL AND MORE!  KEEP IN TOUCH TO KEEP MUSIC LIVE! TWITTER: @12barclub WEBSITE http://www.12barclub.com/   EMAIL: info@12barclub.com",,,,,,,,,,,,
134 Homemade Jam,Live music venue | Event,437,1-Mar-16,134homemadejam,,,,,,,134homemadejam@gmail.com,http://www.althaus.ca/music,(306) 612-3310,https://scontent-lax3-1.xx.fbcdn.net/v/t1.0-9/79375941_2343048372606386_6752423252057915392_o.jpg?_nc_cat=104&_nc_sid=6e5ad9&_nc_ohc=Ac4ckbWtPvsAX-_Y2eN&_nc_ht=scontent-lax3-1.xx&oh=7d0cd1019ed8146a29f39abaee961df5&oe=5EE05DDB,"134 3rd St E Saskatoon, Saskatchewan ",,"A space for new and established bands to showcase their work in a unique, artistic and intimate environment.   Like our page to stay updated on news, shows, & everything else!",,,,,,www.althaus.ca/music,,,,,live music,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le 132-Bar Vintage,Cocktail bar | Lounge,8584,18-Jan-13,132BarVintage,,,,,,,132barvintage@gmail.com,http://www.le132.com,(514) 419-1404,https://scontent-lax3-2.xx.fbcdn.net/v/t1.0-9/29103230_2057522407621834_1075165451039801344_o.jpg?_nc_cat=107&_nc_sid=6e5ad9&_nc_ohc=TpxUDkAhM70AX8P_arm&_nc_ht=scontent-lax3-2.xx&oh=f23be4070dc68ec1266243299945f671&oe=5EE1A0A6,"132, rue Fleury Ouest Montreal, Quebec ",,"Cocktail, vins et bières! Vous trouverez votre compte!",,,,"Métro Sauvé (à environ 10 minutes à pied), autobus 180 ou 121 ouest.",22 Février 2013,,Casual,,,,,,,,Jean-Maxime Giguère,,,,,,,,,,,"Un établissement où le bon vin, les bons coquetels, et la bonne compagnie règnent.",,,,,,,,,,,,
170 Russell,Performance & event venue | Musician/band,16142,7-Jan-14,170russell,,,,,,,taryn@170russell.com,http://170russell.com,+61 3 9639 4000,https://scontent-lax3-1.xx.fbcdn.net/v/t31.0-8/15384382_1830695277142415_6475340585542193362_o.jpg?_nc_cat=104&_nc_sid=6e5ad9&_nc_ohc=NCKm86CcYrYAX8VbEbq&_nc_ht=scontent-lax3-1.xx&oh=323ce3a941e116491ae7cdac3a56ed0c&oe=5EE18D4A,"170 Russell St Melbourne, Victoria, Australia ",,"170 Russell is Melbourne's premier mid-size live music venue. Visit www.170russell.com for all show announcements, ticketing and playing times.",,,,,,,,,,,,,,,,,,,,,,,,,,"PLAYING TIMES Playing times are listed at www.170russell.com 5 days out from shows  CLOAK ROOM Yes, we do have a cloak room",,,,,,,,,,,,
The Old School House Arts Centre,Art gallery | Performance & event venue | Community organisation,1060,27-Jan-10,1912school,,,,,,,info@theoldschoolhouse.org,http://www.theoldschoolhouse.org,(250) 752-6133,https://scontent-lax3-2.xx.fbcdn.net/v/t1.0-9/56236267_10156391773158207_2894060491460575232_o.jpg?_nc_cat=106&_nc_sid=6e5ad9&_nc_ohc=gWwZLamMw-0AX_hyRoQ&_nc_ht=scontent-lax3-2.xx&oh=64c2135a45976966e03d91ec8ab9fef3&oe=5EE19C78,"122 Fern Road West, Qualicum Beach B.C. Qualicum Beach, British Columbia ",,"The Old School House Arts Centre fosters a vibrant arts centre that promotes and encourages the development of multi-dimensional artists and musicians for the enjoyment of all ages, residents and visitors alike, in Qualicum Beach and the region.",,,,,12-Feb-87,,,,"TOSH is proud to showcase the talent and culture of Vancouver Island. Open year round and has diverse programming (exhibitions, education and music).","The mandate of The Old School House Arts Centre is to foster a vibrant arts centre that promotes and encourages the development of multi-dimensional artists and... musicians for the enjoyment of all ages, residents and visitors alike, in Qualicum Beach and throughout central Vancouver Island. See more musicians for the enjoyment of all ages, residents and visitors alike, in Qualicum Beach and throughout central Vancouver Island.","The arts: paintings, photography,sculpture, music, artisan crafts.",,,,,,,,,,,,,,,"This Heritage building was built in 1912 and served the educational needs of Qualicum Beach for both elementary and secondary school until 1952, when a new seco...ndary school was built. The building reverted to an elementary school only until 1976, when a new school was built. The Board of Education used the building until 1985. As the wrecking ball swung closer and closer to the building, dedicated citizens of the community banded together and formed a non-profit cultural association. With the help of many volunteers, countless hours of hard work and fundraising events, the building was renovated and opened to the public in February 1988 See morendary school was built. The building reverted to an elementary school only until 1976, when a new school was built. The Board of Education used the building until 1985. As the wrecking ball swung closer and closer to the building, dedicated citizens of the community banded together and formed a non-profit cultural association. With the help of many volunteers, countless hours of hard work and fundraising events, the building was renovated and opened to the public in February 1988",,,,,,,,,,,,
1918 Tap and Table,Restaurant | Pub | Food delivery service,545,13-Jan-17,1918tapandtable,,,,,,,manager@1918tapandtable.com,http://1918tapandtable.com,(403) 209-1918,https://scontent-lax3-1.xx.fbcdn.net/v/t1.0-9/67356969_2935187640039658_6701296309258682368_o.jpg?_nc_cat=108&_nc_sid=6e5ad9&_nc_ohc=kZOz6sPxMIcAX9Uib-F&_nc_ht=scontent-lax3-1.xx&oh=9bbfb9955c2e487e6a3d39754c32eb01&oe=5EE2BE76,"1918 Kensington road NW Calgary, Alberta ",,"Welcome to 1918 Tap and Table, a local eatery nestled in the heart of West Hillhurst, just 2 minutes from Calgary’s core. Come in and visit us.",,,,,,Brunch - Sat/Sun 10am - 1pm Happy Hour - Mon - Fri - 3pm - 6pm,Casual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218 Live - House Concert Venue,Performance art theatre,212,27-Dec-17,218live,,,,,,,,,(416) 716-4142,https://scontent-lax3-2.xx.fbcdn.net/v/t31.0-8/26170764_1926070047653207_3030903846976922094_o.jpg?_nc_cat=106&_nc_sid=6e5ad9&_nc_ohc=QcJA3PGD2g0AX97ygGQ&_nc_ht=scontent-lax3-2.xx&oh=601360db1b326d47b64d109208a97457&oe=5EE1B473,"218 Rubidge st. Peterborough, Ontario ",,"House concerts hosted by Scott Somerville, Patrick McIntosh, and Kellen Lindley @ 218 Rubidge street, Ptbo, ON. Message page for booking THIS VENUE NO LONGER EXISTS. WE'VE ALL MOVED OUT OF THE HOUSE. PLEASE DON'T MESSAGE US ABOUT PLAYING HERE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229 The Venue,Live music venue | Dance club & nightclub | Event,10015,15-Dec-10,229london,,,,,,,info@229.london,https://229.london,+44 20 7631 8379,https://scontent-lax3-2.xx.fbcdn.net/v/t1.0-9/95986855_3571255312888890_1805128265782788096_o.jpg?_nc_cat=106&_nc_sid=6e5ad9&_nc_ohc=L54lFrhVbsAAX-kr4Kv&_nc_ht=scontent-lax3-2.xx&oh=64eb964f9b6d4be72937795dbdaef0ab&oe=5EE080D8,"229 Great Portland Street London, United Kingdom ",,2 venues (capacities 180 & 620) in the heart of central London.,,,,,,,,,,,,,,,,,,,,,,,,,,"We are a Live Music and Entertainments Venue on Great Portland Street, Central London.  If you wish to apply to play one of our nights please send us the follow...ing: A link to a live performance video. Links to your social media platforms. A short, concise biography of where you have played previously and your achievements to date.  Send the above to Iain Scott (Venue Booker) – info@229.london See moreing: A link to a live performance video. Links to your social media platforms. A short, concise biography of where you have played previously and your achievements to date.  Send the above to Iain Scott (Venue Booker) – info@229.london",,,,,,,,,,,,
254 Lansdowne,Bar | Producer | Live music venue,591,15-Jun-19,254lansdowne,,,,,,,254bsmt@gmail.com,,(647) 293-2266,https://scontent-lax3-1.xx.fbcdn.net/v/t1.0-9/91279924_526277214737596_95672552591982592_o.jpg?_nc_cat=102&_nc_sid=6e5ad9&_nc_ohc=X9lOAAVJrCQAX_jjKjV&_nc_ht=scontent-lax3-1.xx&oh=4ba3f799531b6dc8e16f3fd5147184fe&oe=5EDFF28E,"254 Lansdowne Avenue Toronto, Ontario ",,West end Toronto live music and DJ venue with top sound.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255 by Alta Rossa Ristorante,Italian restaurant,621,21-Feb-16,255ristorante,,,,,,,info@255altarossa.com,http://www.255altarossa.com,(905) 669-1255,https://scontent-lax3-2.xx.fbcdn.net/v/t31.0-8/22520127_537789233221748_1227465623410197352_o.jpg?_nc_cat=106&_nc_sid=6e5ad9&_nc_ohc=xiQopCg01NIAX_MmCjH&_nc_ht=scontent-lax3-2.xx&oh=2452b129e1a153099ce8a3860257b240&oe=5EE1114A,"255 Bass Pro Mills, Unit 703A Vaughan, Ontario ",,Pizza Pasta Vino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat Les Waterfront Patio,Restaurant,901,23-Feb-19,30blockhouseisland,,,,,,,,,(613) 498-3000,https://scontent-lax3-1.xx.fbcdn.net/v/t1.0-9/69200828_1255075734663612_507424852441825280_o.jpg?_nc_cat=109&_nc_sid=6e5ad9&_nc_ohc=WmNsp0NtTwcAX9pPddV&_nc_ht=scontent-lax3-1.xx&oh=0f4b0a35e5ef9fe5e0785b3270db0f11&oe=5EE2A80C,"30 Block House Island Pkwy Brockville, Ontario ",,"Beautiful licensed patio right on the St. Lawrence. Warm family friendly environment. Casual dinning, take out, ice cream.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33 Bowen,Restaurant | Pub | Live music venue,2221,2-Jan-18,33bowen,,,,,,,info@33bowen.ca,http://www.33bowen.ca,(289) 396-8865,https://scontent-lax3-1.xx.fbcdn.net/v/t1.0-9/67699021_405716850065891_2464225180998696960_n.jpg?_nc_cat=108&_nc_sid=6e5ad9&_nc_ohc=LFI_7JXmr-YAX-w5hqV&_nc_ht=scontent-lax3-1.xx&oh=0e1bdf54a3ec0c40809943b9c0962c30&oe=5EE33A1D,"33 Bowen St Hamilton, Ontario ",,"33 Bowen is a two story historic building providing trendy menu items, 24 beer lines, large selection of spirits & wines, and live entertainment to enjoy on the weekends.",,,,,,,Casual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The 39 Days of July,Performance & event venue | Festival | Music production studio,2243,16-May-15,39daysofjuly,,,,,,,39daysofjuly@gmail.com,,,https://scontent-lax3-2.xx.fbcdn.net/v/t1.0-9/69236698_2487366571323411_1892805221357191168_o.jpg?_nc_cat=107&_nc_sid=6e5ad9&_nc_ohc=DU9mMh4P3eEAX-cE9l8&_nc_ht=scontent-lax3-2.xx&oh=1e48294298c687f857f8238dbc099254&oe=5EE071E7,"Charles Hoey Memorial Park Duncan, British Columbia ",,"39 days, 300 plus performances, 100% free to the public.June 28th - August 5, 2019.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
